taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,510000,510000001,Estado de flujos de efectivo [sinopsis],ifrs_StatementOfCashFlowsAbstract,skip,1,,omit,
SFC,2024,510000,510000002,Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract,skip,1,,omit,
SFC,2024,510000,510000003,Clases de cobros por actividades de operación [sinopsis],ifrs_ClassesOfCashReceiptsFromOperatingActivitiesAbstract,skip,1,,omit,
SFC,2024,510000,510000004,Cobros procedentes de cartera de créditos y operaciones de leasing financiero,co-sfc-core_CobrosProcedentesCarteraCreditosOperacionesLeasingFinanciero,,1,,medio,
SFC,2024,510000,510000005,Cobros procedentes de depósitos y exigibilidades,co-sfc-core_CobrosProcedentesDepositosExigibilidades,,1,,medio,
SFC,2024,510000,510000006,Cobros procedentes de cuentas por cobrar la actividad aseguradora,co-sfc-core_CobrosProcedentesCuentasCobrarActividadAseguradora,,1,,medio,
SFC,2024,510000,510000007,Cobros procedentes de las ventas de bienes y prestación de servicios,ifrs_ReceiptsFromSalesOfGoodsAndRenderingOfServices,,1,,medio,
SFC,2024,510000,510000008,"Cobros procedentes de regalías, cuotas, comisiones y otros ingresos de actividades ordinarias",ifrs_ReceiptsFromRoyaltiesFeesCommissionsAndOtherRevenue,,1,,medio,
SFC,2024,510000,510000009,Cobros derivados de contratos mantenidos para intermediación o para negociar con ellos,ifrs_ReceiptsFromContractsHeldForDealingOrTradingPurpose,,1,,medio,
SFC,2024,510000,510000010,"Cobros procedentes de primas y prestaciones, anualidades y otros beneficios de pólizas suscritas",ifrs_ReceiptsFromPremiumsAndClaimsAnnuitiesAndOtherPolicyBenefits,,1,,medio,
SFC,2024,510000,510000011,Cobros por rentas y ventas posteriores de activos mantenidos para arrendar a terceros y posteriormente mantenidos para la venta,ifrs_ReceiptsFromRentsAndSubsequentSalesOfSuchAssets,,1,,medio,
SFC,2024,510000,510000012,Otros cobros por actividades de operación,ifrs_OtherCashReceiptsFromOperatingActivities,,1,,medio,
SFC,2024,510000,510000013,Clases de pagos en efectivo procedentes de actividades de operación [resumen],ifrs_ClassesOfCashPaymentsAbstract,skip,1,,omit,
SFC,2024,510000,510000014,Pagos procedentes de cartera de créditos y operaciones de leasing financiero,co-sfc-core_PagosProcedentesCarteraCreditosOperacionesLeasingFinanciero,,1,,medio,
SFC,2024,510000,510000015,Pagos procedentes de depósitos y exigibilidades,co-sfc-core_PagosProcedentesDepositosExigibilidades,,1,,medio,
SFC,2024,510000,510000016,Pagos procedentes de cuentas por pagar la actividad aseguradora,co-sfc-core_PagosProcedentesCuentasPagarActividadAseguradora,,1,,medio,
SFC,2024,510000,510000017,Pagos a proveedores por el suministro de bienes y servicios,ifrs_PaymentsToSuppliersForGoodsAndServices,,1,,medio,
SFC,2024,510000,510000018,Pagos procedentes de contratos mantenidos para intermediación o para negociar,ifrs_PaymentsFromContractsHeldForDealingOrTradingPurpose,,1,,medio,
SFC,2024,510000,510000019,Pagos a y por cuenta de los empleados,ifrs_PaymentsToAndOnBehalfOfEmployees,,1,,medio,
SFC,2024,510000,510000020,"Pagos por primas y prestaciones, anualidades y otras obligaciones derivadas de las pólizas suscritas",ifrs_PaymentsForPremiumsAndClaimsAnnuitiesAndOtherPolicyBenefits,,1,,medio,
SFC,2024,510000,510000021,Pagos por producir o adquirir activos mantenidos para arrendar a terceros y posteriormente mantenidos para la venta,ifrs_PaymentsToManufactureOrAcquireAssetsHeldForRentalToOthersAndSubsequentlyHeldForSale,,1,,medio,
SFC,2024,510000,510000022,Otros pagos por actividades de operación,ifrs_OtherCashPaymentsFromOperatingActivities,,1,,medio,
SFC,2024,510000,510000023,Flujos de efectivo netos procedentes (utilizados en) operaciones,ifrs_CashFlowsFromUsedInOperations,,1,,medio,
SFC,2024,510000,510000024,Dividendos pagados,ifrs_DividendsPaidClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,510000,510000025,Dividendos recibidos,ifrs_DividendsReceivedClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,510000,510000026,Intereses pagados,ifrs_InterestPaidClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,510000,510000027,Intereses recibidos,ifrs_InterestReceivedClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,510000,510000028,Impuestos a las ganancias reembolsados (pagados),ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,510000,510000029,Otras entradas (salidas) de efectivo,ifrs_OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,,1,,medio,
