taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,220000,220000001,Activos,ifrs_AssetsAbstract,skip,1,,omit,
SFC,2024,220000,220000002,Efectivo y equivalentes al efectivo,ifrs_CashAndCashEquivalents,,1,,medio,
SFC,2024,220000,220000003,Inversiones,co-sfc-core_Inversiones,,1,,medio,
SFC,2024,220000,220000004,Otros activos financieros,ifrs_OtherFinancialAssets,,1,,medio,
SFC,2024,220000,220000005,Cartera de Crédito y Operaciones de Leasing Financiero,co-sfc-core_CarteraCreditoOperacionesLeasingFinanciero,,1,,medio,
SFC,2024,220000,220000006,Cuentas comerciales por cobrar y otras cuentas por cobrar,ifrs_TradeAndOtherReceivables,,1,,medio,
SFC,2024,220000,220000007,Cuentas por cobrar partes relacionadas y asociadas corrientes,co-sfc-core_CuentasCobrarPartesRelacionadasAsociadasCorrientes,,1,,medio,
SFC,2024,220000,220000008,Reservas Técnicas parte Reaseguradores,co-sfc-core_ReservasTecnicasParteReaseguradores,,1,,medio,
SFC,2024,220000,220000009,Activos por impuestos corrientes,ifrs_CurrentTaxAssets,,1,,medio,
SFC,2024,220000,220000010,Activos por impuestos diferidos,ifrs_DeferredTaxAssets,,1,,medio,
SFC,2024,220000,220000011,Otros activos no financieros,ifrs_OtherNonfinancialAssets,,1,,medio,
SFC,2024,220000,220000012,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,,1,,medio,
SFC,2024,220000,220000013,Propiedad de inversión,ifrs_InvestmentProperty,,1,,medio,
SFC,2024,220000,220000014,"Propiedades, planta y equipo",ifrs_PropertyPlantAndEquipment,,1,,medio,
SFC,2024,220000,220000015,Inventarios,ifrs_InventoriesTotal,,1,,medio,
SFC,2024,220000,220000016,Activos biológicos,ifrs_BiologicalAssets,,1,,medio,
SFC,2024,220000,220000017,Plusvalía,ifrs_Goodwill,,1,,medio,
SFC,2024,220000,220000018,Activos intangibles distintos de la plusvalía,ifrs_IntangibleAssetsOtherThanGoodwill,,1,,medio,
SFC,2024,220000,220000019,Inversiones contabilizadas utilizando el método de la participación,ifrs_InvestmentAccountedForUsingEquityMethod,,1,,medio,
SFC,2024,220000,220000020,"Inversiones en subsidiarias, negocios conjuntos y asociadas",ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,,1,,medio,
SFC,2024,220000,220000021,Total de activos,ifrs_Assets,,1,,critico,
SFC,2024,220000,220000022,Patrimonio y Pasivos,ifrs_EquityAndLiabilitiesAbstract,skip,1,,omit,
SFC,2024,220000,220000023,Pasivos,ifrs_LiabilitiesAbstract,skip,1,,omit,
