taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,210000,210000001,Estado de situaci?n financiera [sinopsis],ifrs_StatementOfFinancialPositionAbstract,skip,1,,omit,
SFC,2024,210000,210000002,Activos [sinopsis],ifrs_AssetsAbstract,skip,1,,omit,
SFC,2024,210000,210000003,Activos corrientes [sinopsis],ifrs_CurrentAssetsAbstract,skip,1,,omit,
SFC,2024,210000,210000004,Efectivo y equivalentes al efectivo,ifrs_CashAndCashEquivalents,,1,,medio,
SFC,2024,210000,210000005,Inversiones corrientes,co-sfc-core_InversionesCorrientes,,1,,medio,
SFC,2024,210000,210000006,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,ifrs_TradeAndOtherCurrentReceivables,,1,,medio,
SFC,2024,210000,210000007,Cuentas por cobrar partes relacionadas y asociadas corrientes,co-sfc-core_CuentasCobrarPartesRelacionadasAsociadasCorrientes,,1,,medio,
SFC,2024,210000,210000008,Inventarios corrientes,ifrs_Inventories,,1,,medio,
SFC,2024,210000,210000009,"Activos por impuestos corrientes, corriente",ifrs_CurrentTaxAssetsCurrent,,1,,medio,
SFC,2024,210000,210000010,Activos biol?gicos corrientes,ifrs_CurrentBiologicalAssets,,1,,medio,
SFC,2024,210000,210000011,Recursos hidrocarburos y minerales corrientes,co-sfc-core_RecursosHidrocarburosMineralesCorrientes,,1,,medio,
SFC,2024,210000,210000012,Otros activos financieros corrientes,ifrs_OtherCurrentFinancialAssets,,1,,medio,
SFC,2024,210000,210000013,Otros activos no financieros corrientes,ifrs_OtherCurrentNonfinancialAssets,,1,,medio,
SFC,2024,210000,210000014,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposici?n clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,ifrs_CurrentAssetsOtherThanAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,,1,,critico,
SFC,2024,210000,210000015,Activos no corrientes o grupos de activos para su disposici?n clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,ifrs_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,,1,,medio,
SFC,2024,210000,210000016,Activos corrientes totales,ifrs_CurrentAssets,,1,,critico,
SFC,2024,210000,210000017,Activos no corrientes [sinopsis],ifrs_NoncurrentAssetsAbstract,skip,1,,omit,
SFC,2024,210000,210000018,"Propiedades, planta y equipo",ifrs_PropertyPlantAndEquipment,,1,,medio,
SFC,2024,210000,210000019,Propiedad de inversi?n,ifrs_InvestmentProperty,,1,,medio,
SFC,2024,210000,210000020,Plusval?a,ifrs_Goodwill,,1,,medio,
SFC,2024,210000,210000021,Activos intangibles distintos de la plusval?a,ifrs_IntangibleAssetsOtherThanGoodwill,,1,,medio,
SFC,2024,210000,210000022,Inversiones contabilizadas utilizando el m?todo de la participaci?n,ifrs_InvestmentAccountedForUsingEquityMethod,,1,,medio,
SFC,2024,210000,210000023,"Inversiones en subsidiarias, negocios conjuntos y asociadas",ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,,1,,medio,
SFC,2024,210000,210000024,Activos biol?gicos no corrientes,ifrs_NoncurrentBiologicalAssets,,1,,medio,
SFC,2024,210000,210000025,Recursos hidrocarburos y minerales no corrientes,co-sfc-core_RecursosHidrocarburosMineralesnNoCorrientes,,1,,medio,
SFC,2024,210000,210000026,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,ifrs_NoncurrentReceivables,,1,,medio,
SFC,2024,210000,210000027,Cuentas por cobrar partes relacionadas y asociadas no corrientes,co-sfc-core_CuentasCobrarPartesRelacionadasAsociadasNoCorrientes,,1,,medio,
SFC,2024,210000,210000028,Inventarios no corrientes,ifrs_NoncurrentInventories,,1,,medio,
SFC,2024,210000,210000029,Activos por impuestos diferidos,ifrs_DeferredTaxAssets,,1,,medio,
SFC,2024,210000,210000030,"Activos por impuestos corrientes, no corriente",ifrs_CurrentTaxAssetsNoncurrent,,1,,medio,
SFC,2024,210000,210000031,Otros activos financieros no corrientes,ifrs_OtherNoncurrentFinancialAssets,,1,,medio,
SFC,2024,210000,210000032,Otros activos no financieros no corrientes,ifrs_OtherNoncurrentNonfinancialAssets,,1,,medio,
SFC,2024,210000,210000033,Total de activos no corrientes,ifrs_NoncurrentAssets,,1,,critico,
SFC,2024,210000,210000034,Total de activos,ifrs_Assets,,1,,critico,
SFC,2024,210000,210000035,Patrimonio y pasivos [sinopsis],ifrs_EquityAndLiabilitiesAbstract,skip,1,,omit,
SFC,2024,210000,210000036,Pasivos [sinopsis],ifrs_LiabilitiesAbstract,skip,1,,omit,
SFC,2024,210000,210000037,Pasivos corrientes [sinopsis],ifrs_CurrentLiabilitiesAbstract,skip,1,,omit,
SFC,2024,210000,210000038,Obligaciones financieras corrientes,co-sfc-core_ObligacionesFinancierasCorrientes,,1,,medio,
SFC,2024,210000,210000039,Disposiciones actuales [sinopsis],ifrs_CurrentProvisionsAbstract,skip,1,,omit,
SFC,2024,210000,210000040,Provisiones corrientes por beneficios a los empleados,ifrs_CurrentProvisionsForEmployeeBenefits,,1,,medio,
SFC,2024,210000,210000041,Otras provisiones corrientes,ifrs_OtherShorttermProvisions,,1,,medio,
SFC,2024,210000,210000042,Total provisiones corrientes,ifrs_CurrentProvisions,,1,,critico,
SFC,2024,210000,210000043,Cuentas por pagar comerciales y otras cuentas por pagar,ifrs_TradeAndOtherCurrentPayables,,1,,medio,
SFC,2024,210000,210000044,Cuentas por pagar partes relacionadas y asociadas corrientes,co-sfc-core_CuentasPagarPartesRelacionadasAsociadasCorrientes,,1,,medio,
SFC,2024,210000,210000045,"Pasivos por impuestos corrientes, corriente",ifrs_CurrentTaxLiabilitiesCurrent,,1,,medio,
SFC,2024,210000,210000046,Otros pasivos financieros corrientes,ifrs_OtherCurrentFinancialLiabilities,,1,,medio,
SFC,2024,210000,210000047,Otros pasivos no financieros corrientes,ifrs_OtherCurrentNonfinancialLiabilities,,1,,medio,
SFC,2024,210000,210000048,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposici?n clasificados como mantenidos para la venta,ifrs_CurrentLiabilitiesOtherThanLiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,,1,,critico,
SFC,2024,210000,210000049,Pasivos incluidos en grupos de activos para su disposici?n clasificados como mantenidos para la venta,ifrs_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,,1,,medio,
SFC,2024,210000,210000050,Pasivos corrientes totales,ifrs_CurrentLiabilities,,1,,critico,
SFC,2024,210000,210000051,Pasivos no corrientes [sinopsis],ifrs_NoncurrentLiabilitiesAbstract,skip,1,,omit,
SFC,2024,210000,210000052,Obligaciones financieras no corrientes,co-sfc-core_ObligacionesFinancierasNoCorrientes,,1,,medio,
SFC,2024,210000,210000053,Provisiones no corrientes [sinopsis],ifrs_NoncurrentProvisionsAbstract,skip,1,,omit,
SFC,2024,210000,210000054,Provisiones no corrientes por beneficios a los empleados,ifrs_NoncurrentProvisionsForEmployeeBenefits,,1,,medio,
SFC,2024,210000,210000055,Otras provisiones no corrientes,ifrs_OtherLongtermProvisions,,1,,medio,
SFC,2024,210000,210000056,Total provisiones no corrientes,ifrs_NoncurrentProvisions,,1,,critico,
SFC,2024,210000,210000057,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,ifrs_NoncurrentPayables,,1,,medio,
SFC,2024,210000,210000058,Cuentas por pagar partes relacionadas y asociadas no corrientes,co-sfc-core_CuentasPagarPartesRelacionadasAsociadasNoCorrientes,,1,,medio,
SFC,2024,210000,210000059,Pasivo por impuestos diferidos,ifrs_DeferredTaxLiabilities,,1,,medio,
SFC,2024,210000,210000060,"Pasivos por impuestos corrientes, no corriente",ifrs_CurrentTaxLiabilitiesNoncurrent,,1,,medio,
SFC,2024,210000,210000061,Otros pasivos financieros no corrientes,ifrs_OtherNoncurrentFinancialLiabilities,,1,,medio,
SFC,2024,210000,210000062,Titulos Emitidos,co-sfc-core_TitulosEmitidos,,1,,medio,
SFC,2024,210000,210000063,Otros pasivos no financieros no corrientes,ifrs_OtherNoncurrentNonfinancialLiabilities,,1,,medio,
SFC,2024,210000,210000064,Total de pasivos no corrientes,ifrs_NoncurrentLiabilities,,1,,critico,
SFC,2024,210000,210000065,Total pasivos,ifrs_Liabilities,,1,,critico,
SFC,2024,210000,210000066,Patrimonio [sinopsis],ifrs_EquityAbstract,skip,1,,omit,
SFC,2024,210000,210000067,Capital emitido,ifrs_IssuedCapital,,1,,medio,
SFC,2024,210000,210000068,Acciones propias en cartera,ifrs_TreasuryShares,,1,,medio,
SFC,2024,210000,210000069,Inversi?n Suplementaria al Capital Asignado,co-sfc-core_InversionSuplementariaCapitalAsignado,,1,,medio,
SFC,2024,210000,210000070,Prima de emisi?n,ifrs_SharePremium,,1,,medio,
SFC,2024,210000,210000071,Resultado del ejercicio,co-sfc-core_ResultadoEjercicio,,1,,medio,
SFC,2024,210000,210000072,Ganancias (p?rdidas) acumuladas,ifrs_RetainedEarnings,,1,,medio,
SFC,2024,210000,210000073,Otras participaciones en el patrimonio,ifrs_OtherEquityInterest,,1,,medio,
SFC,2024,210000,210000074,Reservas,co-sfc-core_Reservas,,1,,medio,
SFC,2024,210000,210000075,Otras reservas,ifrs_OtherReserves,,1,,medio,
SFC,2024,210000,210000076,Total patrimonio atribuible a propietarios de la controladora,ifrs_EquityAttributableToOwnersOfParent,,1,,critico,
SFC,2024,210000,210000077,Participaciones no controladoras,ifrs_NoncontrollingInterests,,1,,medio,
SFC,2024,210000,210000078,Patrimonio total,ifrs_Equity,,1,,critico,
SFC,2024,210000,210000079,Total de patrimonio y pasivos,ifrs_EquityAndLiabilities,,1,,critico,
