taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,320000,320000002,Resultado de periodo [resumen],ifrs_IncomeStatementAbstract,skip,1,,omit,
SFC,2024,320000,320000007,Ingresos de actividades ordinarias,ifrs_Revenue,,1,,medio,
SFC,2024,320000,320000008,Otros ingresos,ifrs_OtherIncome,,1,,medio,
SFC,2024,320000,320000009,Disminución (incremento) en inventarios de productos terminados y en proceso,ifrs_ChangesInInventoriesOfFinishedGoodsAndWorkInProgress,,1,,medio,
SFC,2024,320000,320000010,Otros trabajos realizados por la entidad y capitalizados,ifrs_OtherWorkPerformedByEntityAndCapitalised,,1,,medio,
SFC,2024,320000,320000011,Materias primas y consumibles utilizados,ifrs_RawMaterialsAndConsumablesUsed,,1,,medio,
SFC,2024,320000,320000012,Gastos por beneficios a los empleados,ifrs_EmployeeBenefitsExpense,,1,,medio,
SFC,2024,320000,320000013,Gastos por provisiones de cartera de créditos y operaciones de leasing financiero,co-sfc-core_GastosProvisionesCarteraCreditosOperacionesLeasingFinanciero,,1,,medio,
SFC,2024,320000,320000014,Gasto por depreciación y amortización,ifrs_DepreciationAndAmortisationExpense,,1,,medio,
SFC,2024,320000,320000015,Reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) reconocidas en el resultado del periodo,ifrs_ImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,,1,,medio,
SFC,2024,320000,320000016,"Otros gastos, por naturaleza",ifrs_OtherExpenseByNature,,1,,medio,
SFC,2024,320000,320000017,Otras ganancias (pérdidas),ifrs_OtherGainsLosses,,1,,medio,
SFC,2024,320000,320000018,Ganancia (pérdida) por actividades de operación,ifrs_ProfitLossFromOperatingActivities,,1,,medio,
SFC,2024,320000,320000019,Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo,ifrs_DifferenceBetweenCarryingAmountOfDividendsPayableAndCarryingAmountOfNoncashAssetsDistributed,,1,,medio,
SFC,2024,320000,320000020,Ganancias (pérdidas) derivadas de la posición monetaria neta,ifrs_GainsLossesOnNetMonetaryPosition,,1,,medio,
SFC,2024,320000,320000021,Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado,ifrs_GainLossArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,,1,,medio,
SFC,2024,320000,320000022,Ingresos financieros,ifrs_FinanceIncome,,1,,medio,
SFC,2024,320000,320000023,Costos financieros,ifrs_FinanceCosts,,1,,medio,
SFC,2024,320000,320000024,Participación en las ganancias (pérdidas) de asociadas y negocios conjuntos que se contabilicen utilizando el método de la participación,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,,1,,medio,
SFC,2024,320000,320000025,"Otros ingresos (gastos) procedentes de subsidiarias, entidades controladas de forma conjunta y asociadas",ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,,1,,medio,
SFC,2024,320000,320000026,Ganancias (pérdidas) que surgen de diferencias entre importes en libros anteriores y el valor razonable de activos financieros reclasificados como medidos al valor razonable,ifrs_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,,1,,medio,
SFC,2024,320000,320000027,"Ganancia (pérdida), antes de impuestos",ifrs_ProfitLossBeforeTax,,1,,medio,
SFC,2024,320000,320000028,Ingreso (gasto) por impuestos,ifrs_IncomeTaxExpenseContinuingOperations,,1,,medio,
SFC,2024,320000,320000029,"Gasto (ingreso) por impuestos, operaciones continuadas",ifrs_ProfitLossFromContinuingOperations,,1,,medio,
SFC,2024,320000,320000030,Ganancia (pérdida) procedente de operaciones discontinuadas,ifrs_ProfitLossFromDiscontinuedOperations,,1,,medio,
SFC,2024,320000,320000031,Ganancia (pérdida),ifrs_ProfitLoss,,1,,medio,
SFC,2024,320000,320000032,"Ganancia (pérdida), atribuible a [sinopsis]",ifrs_ProfitLossAttributableToAbstract,skip,1,,omit,
SFC,2024,320000,320000033,"Ganancia (pérdida), atribuible a los propietarios de la controladora",ifrs_ProfitLossAttributableToOwnersOfParent,,1,,medio,
SFC,2024,320000,320000034,"Ganancia (pérdida), atribuible a participaciones no controladoras",ifrs_ProfitLossAttributableToNoncontrollingInterests,,1,,medio,
SFC,2024,320000,320000035,Ganancias por acción [sinopsis],ifrs_EarningsPerShareAbstract,skip,1,,omit,
SFC,2024,320000,320000036,Ganancias por acción [tabla],ifrs_EarningsPerShareTable,,1,,medio,
SFC,2024,320000,320000037,Clases de acciones ordinarias [eje],ifrs_ClassesOfOrdinarySharesAxis,,1,,medio,
SFC,2024,320000,320000038,Acciones ordinarias [miembro],ifrs_OrdinarySharesMember,,1,,medio,
SFC,2024,320000,320000039,Ganancias por acción [partidas],ifrs_EarningsPerShareLineItems,,1,,medio,
SFC,2024,320000,320000040,Ganancia por acción básica [sinopsis],ifrs_BasicEarningsPerShareAbstract,skip,1,,omit,
SFC,2024,320000,320000041,Ganancia (pérdida) por acción básica en operaciones continuadas,ifrs_BasicEarningsLossPerShareFromContinuingOperations,,1,,medio,
SFC,2024,320000,320000042,Ganancia (pérdida) por acción básica en operaciones discontinuadas,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,,1,,medio,
SFC,2024,320000,320000043,Total ganancias (pérdidas) básicas por acción,ifrs_BasicEarningsLossPerShare,,1,,critico,
SFC,2024,320000,320000044,Ganancias por acción diluidas [sinopsis],ifrs_DilutedEarningsPerShareAbstract,skip,1,,omit,
SFC,2024,320000,320000045,Ganancias (pérdida) diluida por acción procedente de operaciones continuadas,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,,1,,medio,
SFC,2024,320000,320000046,Ganancias (pérdida) diluida por acción procedentes de operaciones discontinuadas,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,,1,,medio,
SFC,2024,320000,320000047,Total ganancias (pérdidas) por acción diluidas,ifrs_DilutedEarningsLossPerShare,,1,,critico,
