taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,520000,520000040,Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades,ifrs_OtherCashReceiptsFromSalesOfEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000041,Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades,ifrs_OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000042,Otros cobros por la venta de participaciones en negocios conjuntos,ifrs_OtherCashReceiptsFromSalesOfInterestsInJointVenturesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000043,Otros pagos para adquirir participaciones en negocios conjuntos,ifrs_OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000044,"Importes procedentes de la venta de propiedades, planta y equipo",ifrs_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000045,"Compras de propiedades, planta y equipo",ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000046,Importes procedentes de ventas de activos intangibles,ifrs_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000047,Compras de activos intangibles,ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000048,Recursos por ventas de otros activos a largo plazo,ifrs_ProceedsFromOtherLongtermAssetsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000049,Compras de otros activos a largo plazo,ifrs_PurchaseOfOtherLongtermAssetsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000050,Importes procedentes de subvenciones del gobierno,ifrs_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000051,Anticipos de efectivo y préstamos concedidos a terceros,ifrs_CashAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000052,Cobros procedentes del reembolso de anticipos y préstamos concedidos a terceros,ifrs_CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000053,"Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera (swaps)",ifrs_CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000054,"Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera (swaps)",ifrs_CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000055,Dividendos recibidos,ifrs_DividendsReceivedClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000056,Intereses pagados,ifrs_InterestPaidClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000057,Intereses recibidos,ifrs_InterestReceivedClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000058,Impuestos a las ganancias reembolsados (pagados),ifrs_IncomeTaxesPaidRefundClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000059,Otras entradas (salidas) de efectivo,ifrs_OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000060,Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión,ifrs_CashFlowsFromUsedInInvestingActivities,,1,,medio,
SFC,2024,520000,520000061,Flujos de efectivo procedentes de (utilizados en) actividades de financiación [sinopsis],ifrs_CashFlowsFromUsedInFinancingActivitiesAbstract,skip,1,,omit,
SFC,2024,520000,520000062,Recursos por cambios en las participaciones en la propiedad en subsidiarias que no dan lugar a la pérdida de control,ifrs_ProceedsFromChangesInOwnershipInterestsInSubsidiaries,,1,,medio,
SFC,2024,520000,520000063,Pagos por cambios en las participaciones en la propiedad en subsidiarias que no dan lugar a la pérdida de control,ifrs_PaymentsFromChangesInOwnershipInterestsInSubsidiaries,,1,,medio,
SFC,2024,520000,520000064,Importes procedentes de la emisión de acciones,ifrs_ProceedsFromIssuingShares,,1,,medio,
SFC,2024,520000,520000065,Importes procedentes de la emisión de otros instrumentos de patrimonio,ifrs_ProceedsFromIssuingOtherEquityInstruments,,1,,medio,
SFC,2024,520000,520000066,Pagos por adquirir o rescatar las acciones de la entidad,ifrs_PaymentsToAcquireOrRedeemEntitysShares,,1,,medio,
SFC,2024,520000,520000067,Pagos por otras participaciones en el patrimonio,ifrs_PaymentsOfOtherEquityInstruments,,1,,medio,
SFC,2024,520000,520000068,Importes procedentes de préstamos,ifrs_ProceedsFromBorrowingsClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000069,Reembolsos de préstamos,ifrs_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000070,Pagos de pasivos por arrendamientos financieros,ifrs_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000071,Importes procedentes de subvenciones del gobierno,ifrs_ProceedsFromGovernmentGrantsClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000072,Dividendos pagados,ifrs_DividendsPaidClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000073,Intereses pagados,ifrs_InterestPaidClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000074,Impuestos a las ganancias reembolsados (pagados),ifrs_IncomeTaxesPaidRefundClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000075,Otras entradas (salidas) de efectivo,ifrs_OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,,1,,medio,
SFC,2024,520000,520000076,Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación,ifrs_CashFlowsFromUsedInFinancingActivities,,1,,medio,
SFC,2024,520000,520000077,"Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio",ifrs_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,,1,,medio,
SFC,2024,520000,520000078,Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo [sinopsis],ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalentsAbstract,skip,1,,omit,
SFC,2024,520000,520000079,Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo,ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents,,1,,medio,
SFC,2024,520000,520000080,Incremento (disminución) neto de efectivo y equivalentes al efectivo,ifrs_IncreaseDecreaseInCashAndCashEquivalents,,1,,medio,
SFC,2024,520000,520000081,Efectivo y equivalentes al efectivo al principio del periodo,ifrs_CashAndCashEquivalents,,1,,medio,
SFC,2024,520000,520000082,Efectivo y equivalentes al efectivo al final del periodo,ifrs_CashAndCashEquivalents,,1,,medio,
