taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,420000,420000001,Estado del resultado integral [sinopsis],ifrs_StatementOfComprehensiveIncomeAbstract,skip,1,,omit,
SFC,2024,420000,420000002,Ganancia (pérdida),ifrs_ProfitLoss,,1,,medio,
SFC,2024,420000,420000003,Otro resultado integral [sinopsis],ifrs_OtherComprehensiveIncomeAbstract,skip,1,,omit,
SFC,2024,420000,420000004,"Componentes de otro resultado integral que no se reclasificarán al resultado del periodo, antes de impuestos [resumen]",ifrs_ComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTaxAbstract,skip,1,,omit,
SFC,2024,420000,420000005,"Otro resultado integral, antes de impuestos, ganancias (pérdidas) de inversiones en instrumentos de patrimonio",ifrs_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments,,1,,medio,
SFC,2024,420000,420000006,"Otro resultado integral, antes de impuestos, ganancias (pérdidas) por revaluación",ifrs_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRevaluation,,1,,medio,
SFC,2024,420000,420000007,"Otro resultado integral, antes de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos",ifrs_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,,1,,medio,
SFC,2024,420000,420000008,"Otro resultado integral, antes de impuestos, cambio en el valor razonable de pasivos financieros atribuible a cambios en el riesgo de crédito del pasivo",ifrs_OtherComprehensiveIncomeBeforeTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability,,1,,medio,
SFC,2024,420000,420000009,"Participación de otro resultado integral de asociadas y negocios conjuntos contabilizados utilizando el método de la participación que no se reclasificará al resultado del periodo, antes de impuestos",ifrs_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax,,1,,medio,
SFC,2024,420000,420000010,"Total otro resultado integral que no se reclasificará al resultado del periodo, antes de impuestos",ifrs_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,,1,,critico,
SFC,2024,420000,420000011,"Componentes de otro resultado integral que se reclasificarán al resultado del periodo, antes de impuestos [resumen]",ifrs_ComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTaxAbstract,skip,1,,omit,
SFC,2024,420000,420000012,Diferencias de cambio por conversión [sinopsis],ifrs_ExchangeDifferencesOnTranslationAbstract,skip,1,,omit,
SFC,2024,420000,420000013,"Ganancias (pérdidas) por diferencias de cambio de conversión, antes de impuestos",ifrs_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,,1,,medio,
SFC,2024,420000,420000014,"Ajustes de reclasificación en diferencias de cambio de conversión, antes de impuestos",ifrs_ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationBeforeTax,,1,,medio,
SFC,2024,420000,420000015,"Otro resultado integral, antes de impuestos, diferencias de cambio por conversión",ifrs_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,,1,,medio,
SFC,2024,420000,420000016,Activos financieros disponibles para la venta [sinopsis],ifrs_AvailableforsaleFinancialAssetsAbstract,skip,1,,omit,
SFC,2024,420000,420000017,"Ganancias (pérdidas) por nuevas mediciones de activos financieros disponibles para la venta, antes de impuestos",ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsBeforeTax,,1,,medio,
SFC,2024,420000,420000018,"Ajustes de reclasificación, activos financieros disponibles para la venta, antes de impuestos",ifrs_ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsBeforeTax,,1,,medio,
SFC,2024,420000,420000019,"Otro resultado integral antes de impuestos, activos financieros disponibles para la venta",ifrs_OtherComprehensiveIncomeNetOfTaxAvailableforsaleFinancialAssets,,1,,medio,
SFC,2024,420000,420000020,Coberturas del flujo de efectivo [sinopsis],ifrs_CashFlowHedgesAbstract,skip,1,,omit,
SFC,2024,420000,420000021,"Ganancias (pérdidas) por coberturas de flujos de efectivo, antes de impuestos",ifrs_GainsLossesOnCashFlowHedgesBeforeTax,,1,,medio,
SFC,2024,420000,420000022,"Ajustes de reclasificación en coberturas de flujos de efectivo, antes de impuestos",ifrs_ReclassificationAdjustmentsOnCashFlowHedgesBeforeTax,,1,,medio,
