taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,410000,410000001,Estado del resultado integral [sinopsis],ifrs_StatementOfComprehensiveIncomeAbstract,skip,1,,omit,
SFC,2024,410000,410000002,Ganancia (pérdida),ifrs_ProfitLoss,,1,,medio,
SFC,2024,410000,410000003,Otro resultado integral [sinopsis],ifrs_OtherComprehensiveIncomeAbstract,skip,1,,omit,
SFC,2024,410000,410000004,"Componentes de otro resultado integral que no se reclasificarán al resultado del periodo, neto de impuestos [resumen]",ifrs_ComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTaxAbstract,skip,1,,omit,
SFC,2024,410000,410000005,"Otro resultado integral, neto de impuestos, ganancias (pérdidas) de inversiones en instrumentos de patrimonio",ifrs_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,,1,,medio,
SFC,2024,410000,410000006,"Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación",ifrs_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,,1,,medio,
SFC,2024,410000,410000007,"Otro resultado integral, neto de impuestos, ganancias (pérdidas) por nuevas mediciones de planes de beneficios definidos",ifrs_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,,1,,medio,
SFC,2024,410000,410000008,"Otro resultado integral, neto de impuestos, cambio en el valor razonable de pasivos financieros atribuible a cambios en el riesgo de crédito del pasivo",ifrs_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability,,1,,medio,
SFC,2024,410000,410000009,"Participación de otro resultado integral de asociadas y negocios conjuntos contabilizados utilizando el método de la participación que no se reclasificará al resultado del periodo, neto de impuestos",ifrs_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,,1,,medio,
SFC,2024,410000,410000010,"Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos",ifrs_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,,1,,critico,
SFC,2024,410000,410000011,"Componentes de otro resultado integral que se reclasificarán al resultado del periodo, neto de impuestos [resumen]",ifrs_ComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTaxAbstract,skip,1,,omit,
SFC,2024,410000,410000012,Diferencias de cambio por conversión [sinopsis],ifrs_ExchangeDifferencesOnTranslationAbstract,skip,1,,omit,
SFC,2024,410000,410000013,"Ganancias (pérdidas) por diferencias de cambio de conversión, netas de impuestos",ifrs_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,,1,,medio,
SFC,2024,410000,410000014,"Ajustes de reclasificación en diferencias de cambio de conversión, neto de impuestos",ifrs_ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationNetOfTax,,1,,medio,
SFC,2024,410000,410000015,"Otro resultado integral, neto de impuestos, diferencias de cambio por conversión",ifrs_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,,1,,medio,
SFC,2024,410000,410000016,Activos financieros disponibles para la venta [sinopsis],ifrs_AvailableforsaleFinancialAssetsAbstract,skip,1,,omit,
SFC,2024,410000,410000017,"Ganancias (pérdidas) por nuevas mediciones de activos financieros disponibles para la venta, netas de impuestos",ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,,1,,medio,
SFC,2024,410000,410000018,"Ajustes de reclasificación, activos financieros disponibles para la venta, neto de impuestos",ifrs_ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsNetOfTax,,1,,medio,
